"id_discente","curso","turno","ano_ingresso","idade_ingresso","escola_publica","forma_ingresso","acao_afirmativa","sexo","cor_raca","estado_civil","media_global_aluno","media_global_curso","percentual_integralizado","trancamentos","mobilidade","total_componentes","total_reprovacao","total_aprovacao","percentagem_frequencia","percentagem_reprovacao","reprovacoes_rm","reprovacoes_rf","reprovacoes_rmf","percentagem_aprovacao","qtd_semestres","motivo_inativacao","status"
800574,"Ciência Da Computação","Integral",2015,19,"Sim","Sisu","RS-PPI","Masculino","Pardo","Solteiro(A)",4.52,5.03,50,0,0,53,26,27,80.01,49.06,16,0,10,50.94,11,"Ativo","Ativo"
800650,"Sistemas De Informação","Noturno",2015,17,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",4.7,5.32,6.4,2,0,5,2,3,86.88,40,2,0,0,60,1,"Excluído","Excluído"
800656,"Ciência Da Computação","Integral",2015,17,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",2.64,5.03,6.38,2,0,21,18,3,66.15,85.71,8,1,9,14.29,5,"Excluído","Excluído"
800662,"Sistemas De Informação","Noturno",2015,25,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",2.97,4.7,16,4,0,18,13,5,73.70,72.22,5,0,8,27.78,7,"Ativo","Ativo"
800669,"Engenharia De Software","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",4.14,5.48,16,1,0,21,13,8,72.40,61.9,6,0,7,38.1,5,"Mudança de curso","Excluído"
800688,"Engenharia De Software","Noturno",2015,19,"Sim","Sisu","RS","Masculino","Branco","Solteiro(A)",8.39,5.48,100,0,0,45,0,45,94.41,0,0,0,0,100,8,"Conclusão","Graduado"
800697,"Ciência Da Computação","Integral",2015,20,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",8.17,5.03,97.87,0,0,48,2,46,86.86,4.17,2,0,0,95.83,10,"Ativo","Ativo"
800722,"Sistemas De Informação","Noturno",2015,24,"Não","Sisu","Ampla Concorrência","Masculino","Não Informado","Solteiro(A)",3.04,5.32,16,4,0,16,12,4,66.25,75,4,0,8,25,5,"Excluído","Excluído"
800737,"Ciência Da Computação","Integral",2015,25,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",5.63,5.03,59.64,2,0,35,16,19,79.88,45.71,11,0,5,54.29,8,"Ativo","Ativo"
800767,"Engenharia De Software","Noturno",2015,19,"Sim","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",5.7,5.48,48.25,4,0,34,14,20,75.74,41.18,9,0,5,58.82,7,"Ativo","Ativo"
800769,"Engenharia De Software","Noturno",2015,17,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",7.76,5.48,100,0,0,46,3,43,90.39,6.52,3,0,0,93.48,10,"Conclusão","Graduado"
800775,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",5.22,5.03,6.38,2,0,4,2,2,86.88,50,2,0,0,50,1,"Excluído","Excluído"
800801,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RI","Masculino","Branco","Solteiro(A)",7.45,5.03,95.34,0,0,50,4,46,95.49,8,4,0,0,92,10,"Ativo","Ativo"
